Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31469,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: virtio_net: Fix UAF on dst_ops when IFF_XMIT_DST_RELEASE is cleared and napi_tx is false,https://avd.aquasec.com/nvd/cve-2026-31469
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31470,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: virt: tdx-guest: Fix handling of host controlled 'quote' buffer length,https://avd.aquasec.com/nvd/cve-2026-31470
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31480,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: tracing: Fix potential deadlock in cpu hotplug with osnoise,https://avd.aquasec.com/nvd/cve-2026-31480
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31482,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: s390/entry: Scrub r12 register on kernel entry,https://avd.aquasec.com/nvd/cve-2026-31482
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31483,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: s390/syscalls: Add spectre boundary for syscall dispatch table,https://avd.aquasec.com/nvd/cve-2026-31483
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31485,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: spi: spi-fsl-lpspi: fix teardown order issue (UAF),https://avd.aquasec.com/nvd/cve-2026-31485
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31487,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: spi: use generic driver_override infrastructure,https://avd.aquasec.com/nvd/cve-2026-31487
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31492,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: RDMA/irdma: Initialize free_qp completion before using it,https://avd.aquasec.com/nvd/cve-2026-31492
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31493,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: RDMA/efa: Fix use of completion ctx after free,https://avd.aquasec.com/nvd/cve-2026-31493
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31498,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Bluetooth: L2CAP: Fix ERTM re-init and zero pdu_len infinite loop,https://avd.aquasec.com/nvd/cve-2026-31498
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31499,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Bluetooth: L2CAP: Fix deadlock in l2cap_conn_del(),https://avd.aquasec.com/nvd/cve-2026-31499
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31500,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Bluetooth: btintel: serialize btintel_hw_error() with hci_req_sync_lock,https://avd.aquasec.com/nvd/cve-2026-31500
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31502,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: team: fix header_ops type confusion with non-Ethernet ports,https://avd.aquasec.com/nvd/cve-2026-31502
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31504,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: net: fix fanout UAF in packet_release() via NETDEV_UP race,https://avd.aquasec.com/nvd/cve-2026-31504
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31505,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: iavf: fix out-of-bounds writes in iavf_get_ethtool_stats(),https://avd.aquasec.com/nvd/cve-2026-31505
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31507,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: net/smc: fix double-free of smc_spd_priv when tee() duplicates splice pipe buffer,https://avd.aquasec.com/nvd/cve-2026-31507
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31508,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: net: openvswitch: Avoid releasing netdev before teardown completes,https://avd.aquasec.com/nvd/cve-2026-31508
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31511,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Bluetooth: MGMT: Fix dangling pointer on mgmt_add_adv_patterns_monitor_complete,https://avd.aquasec.com/nvd/cve-2026-31511
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31512,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Bluetooth: L2CAP: Validate PDU length before reading SDU length in l2cap_ecred_data_rcv(),https://avd.aquasec.com/nvd/cve-2026-31512
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31515,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: af_key: validate families in pfkey_send_migrate(),https://avd.aquasec.com/nvd/cve-2026-31515
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31516,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: xfrm: prevent policy_hthresh.work from racing with netns teardown,https://avd.aquasec.com/nvd/cve-2026-31516
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31518,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: esp: fix skb leak with espintcp and async crypto,https://avd.aquasec.com/nvd/cve-2026-31518
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31519,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: btrfs: set BTRFS_ROOT_ORPHAN_CLEANUP during subvol create,https://avd.aquasec.com/nvd/cve-2026-31519
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31521,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: module: Fix kernel panic when a symbol st_shndx is out of bounds,https://avd.aquasec.com/nvd/cve-2026-31521
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31523,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: nvme-pci: ensure we're polling a polled queue,https://avd.aquasec.com/nvd/cve-2026-31523
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31525,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: bpf: Fix undefined behavior in interpreter sdiv/smod for INT_MIN,https://avd.aquasec.com/nvd/cve-2026-31525
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31526,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: bpf: Fix exception exit lock checking for subprogs,https://avd.aquasec.com/nvd/cve-2026-31526
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31527,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: driver core: platform: use generic driver_override infrastructure,https://avd.aquasec.com/nvd/cve-2026-31527
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31528,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: perf: Make sure to use pmu_ctx->pmu for groups,https://avd.aquasec.com/nvd/cve-2026-31528
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2025-69720,ncurses-base,6.5+20250216-2,N/A,HIGH,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,https://avd.aquasec.com/nvd/cve-2025-69720
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2025-69720,ncurses-bin,6.5+20250216-2,N/A,HIGH,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,https://avd.aquasec.com/nvd/cve-2025-69720
Ruby,CVE-2026-34785,rack,3.2.5,"2.2.23, 3.1.21, 3.2.6",HIGH,github.com/rack/rack: Rack: Information disclosure via incorrect static file serving prefix check,https://avd.aquasec.com/nvd/cve-2026-34785
Ruby,CVE-2026-34827,rack,3.2.5,"3.1.21, 3.2.6",HIGH,rack: Rack: Denial of Service via crafted multipart/form-data requests,https://avd.aquasec.com/nvd/cve-2026-34827
Ruby,CVE-2026-34829,rack,3.2.5,"2.2.23, 3.1.21, 3.2.6",HIGH,rack: Rack: Denial of Service via unbounded multipart file upload,https://avd.aquasec.com/nvd/cve-2026-34829
Ruby,CVE-2026-39324,rack-session,2.1.1,2.1.2,CRITICAL,Rack::Session is a session management implementation for Rack. From 2. ...,https://avd.aquasec.com/nvd/cve-2026-39324
